GameID,Timestamp,Player,Faction,Turn Order,Game Score,Tournament Score,Map,Clearing Distribution,Deck,Undrafted Faction,Turn Timing,Dom/Coal,Season
DbInput!42274,2025-06-27 20:53:58.219855+00:00,Eidol0n+4410,Underground Duchy,2,11,0,Autumn,Random,Exiles and Partisans,Keepers in Iron,Async,,M02
DbInput!42274,2025-06-27 20:53:58.219855+00:00,Riverman+1204,Lizard Cult,1,17,0,Autumn,Random,Exiles and Partisans,Keepers in Iron,Async,,M02
DbInput!42270,2025-06-27 17:21:18.621096+00:00,lumpyprol+3206,Lord of the Hundreds,4,16,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42270,2025-06-27 17:21:18.621096+00:00,sparrowhawk+9374,Eyrie Dynasties,3,16,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42270,2025-06-27 17:21:18.621096+00:00,Plush2+8334,Lizard Cult,2,30,1,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42270,2025-06-27 17:21:18.621096+00:00,Gregoola+1424,Riverfolk Company,1,29,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42265,2025-06-27 08:38:08.014179+00:00,BrendonFraisier+7619,Lizard Cult,4,20,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42265,2025-06-27 08:38:08.014179+00:00,Silver+6850,Eyrie Dynasties,3,32,1,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42265,2025-06-27 08:38:08.014179+00:00,NadtyLite+7330,Riverfolk Company,2,27,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42265,2025-06-27 08:38:08.014179+00:00,Acecreamsundae+1472,Corvid Conspiracy,1,25,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42263,2025-06-27 02:52:47.299021+00:00,Napalminthebirdsong+5528,Underground Duchy,4,9,0,Autumn,Random,Exiles and Partisans,,Live,,M02
DbInput!42263,2025-06-27 02:52:47.299021+00:00,Vagabond Glazer+6268,Vagabond (Scoundrel),3,19,0,Autumn,Random,Exiles and Partisans,,Live,,M02
